Date,Open,High,Low,Close,Adj Close,Volume
15-11-2021,3537,3593.879883,3525.810059,3545.679932,3545.679932,2929700
16-11-2021,3539,3576.5,3525.149902,3540.699951,3540.699951,2217100
17-11-2021,3564.719971,3587.25,3545.350098,3549,3549,2560300
18-11-2021,3566.350098,3704.199951,3561,3696.060059,3696.060059,5703500
19-11-2021,3712.689941,3762.149902,3675.719971,3676.570068,3676.570068,4936700
22-11-2021,3676.379883,3713.459961,3567.5,3572.570068,3572.570068,4842200
23-11-2021,3585.040039,3621.050049,3527.709961,3580.040039,3580.040039,3690200
24-11-2021,3562.669922,3613.639893,3536.850098,3580.409912,3580.409912,2328000
26-11-2021,3602.100098,3633.5,3504.149902,3504.560059,3504.560059,2991300
29-11-2021,3547.639893,3596,3531.5,3561.570068,3561.570068,3265600
30-11-2021,3563.5,3585.77002,3492.01001,3507.070068,3507.070068,4001100
01-12-2021,3545,3559.879883,3441.600098,3443.719971,3443.719971,3745800
02-12-2021,3460,3492.699951,3423.75,3437.360107,3437.360107,3236300
03-12-2021,3455,3469.870117,3338.600098,3389.790039,3389.790039,4032600
06-12-2021,3393,3473.909912,3338.689941,3427.370117,3427.370117,3443000
07-12-2021,3492,3549.98999,3466.689941,3523.290039,3523.290039,3320500
08-12-2021,3523.01001,3543.600098,3495.01001,3523.159912,3523.159912,2262700
09-12-2021,3515,3539.389893,3482.790039,3483.419922,3483.419922,2303100
10-12-2021,3508.340088,3518.540039,3410,3444.23999,3444.23999,3031400
13-12-2021,3440,3442,3382.600098,3391.350098,3391.350098,3108500
14-12-2021,3351,3389.97998,3328.800049,3381.830078,3381.830078,2798800
15-12-2021,3371.959961,3472,3303.899902,3466.300049,3466.300049,3789700
16-12-2021,3467.370117,3483.320068,3363.209961,3377.419922,3377.419922,3043800
17-12-2021,3354.209961,3417.969971,3312.27002,3400.350098,3400.350098,4277100
20-12-2021,3337,3357.48999,3312,3341.580078,3341.580078,2868600
21-12-2021,3357.01001,3414.330078,3312.949951,3408.340088,3408.340088,2797800
22-12-2021,3385.399902,3441,3370.01001,3420.73999,3420.73999,2751800
23-12-2021,3408.560059,3439.5,3403,3421.370117,3421.370117,1837500
27-12-2021,3420.73999,3458.860107,3384.310059,3393.389893,3393.389893,2934400
28-12-2021,3403.649902,3443.52002,3382.709961,3413.219971,3413.219971,2731900
29-12-2021,3416.800049,3424.23999,3372.01001,3384.02002,3384.02002,1782700
